SGAS	KRG	KRWG	PCOG
0	0	1	0
0.001	1.99222988192046e-07	0.994233274568504	22.2765535667708
0.01	5.4966438595489e-06	0.942939781968444	22.4387535985826
0.0346725291105686	0.000145261070689712	0.812829726786924	22.8834074882062
0.0593450582211372	0.000643921169824101	0.697329998637195	23.3280613778298
0.0840175873317058	0.00169683270272327	0.595197269475368	23.7727152674534
0.108690116442274	0.00349287297525636	0.50538395971037	24.217369157077
0.133362645552843	0.00619432524191675	0.426642888346899	24.6620230467005
0.158035174663412	0.00996064377655293	0.357927470689945	25.7677503371449
0.18270770377398	0.0149460699168078	0.298265992617538	27.3761963717293
0.207380232884549	0.0213000900096778	0.246749338618645	30.6438679884323
0.232052761995117	0.0291750529261616	0.202555875439434	34.8097362231947
0.256725291105686	0.0387220957437795	0.164909570988307	39.5071790631573
0.281397820216255	0.050067883170956	0.133020659253278	44.8220481186637
0.306070349326823	0.0633487546421797	0.106213876923316	50.9162393732284
0.330742878437392	0.0786986904997837	0.0838670259765646	57.9089086882585
0.35541540754796	0.0962495372803829	0.0654090392210137	65.8091075765508
0.380087936658529	0.116153656143965	0.0503441354503927	74.735283889691
0.404760465769098	0.138527336116616	0.0381710148375305	84.8143587398336
0.429432994879666	0.163489618359365	0.0284513364135705	96.389350932776
0.454105523990235	0.191165388493769	0.0208004682783079	109.53265759379
0.478778053100803	0.221678113794917	0.0148748171012528	124.463995422798
0.503450582211372	0.255155552994122	0.0103718486587355	141.32443531833
0.528123111321941	0.291746958361662	0.00703027186071808	160.62661805487
0.552795640432509	0.33154112973951	0.00460354237006722	182.535303576418
0.577468169543078	0.374656637186586	0.002892487720832	207.27662456212
0.602140698653646	0.421211004162615	0.00172820852781282	235.1799284716
0.626813227764215	0.471320760493811	0.000969841226399703	266.905657565774
0.651485756874784	0.525127287132901	0.000503597367055388	304.350590408486
0.676158285985352	0.582742463767231	0.000236140029953456	348.344488933851
0.700830815095921	0.644260026999766	9.59775022303898e-05	399.164644960452
0.725503344206489	0.709792944217053	3.16143450237425e-05	488.25175433856
NaN	NaN	NaN	NaN
0	0	1	0
0.001	1.99222988192046e-07	0.994233274568504	22.2765535667708
0.01	5.4966438595489e-06	0.942939781968444	22.4387535985826
0.0346725291105686	0.000145261070689712	0.812829726786924	22.8834074882062
0.0593450582211372	0.000643921169824101	0.697329998637195	23.3280613778298
0.0840175873317058	0.00169683270272327	0.595197269475368	23.7727152674534
0.108690116442274	0.00349287297525636	0.50538395971037	24.217369157077
0.133362645552843	0.00619432524191675	0.426642888346899	24.6620230467005
0.158035174663412	0.00996064377655293	0.357927470689945	25.7677503371449
0.18270770377398	0.0149460699168078	0.298265992617538	27.3761963717293
0.207380232884549	0.0213000900096778	0.246749338618645	30.6438679884323
0.232052761995117	0.0291750529261616	0.202555875439434	34.8097362231947
0.256725291105686	0.0387220957437795	0.164909570988307	39.5071790631573
0.281397820216255	0.050067883170956	0.133020659253278	44.8220481186637
0.306070349326823	0.0633487546421797	0.106213876923316	50.9162393732284
0.330742878437392	0.0786986904997837	0.0838670259765646	57.9089086882585
0.35541540754796	0.0962495372803829	0.0654090392210137	65.8091075765508
0.380087936658529	0.116153656143965	0.0503441354503927	74.735283889691
0.404760465769098	0.138527336116616	0.0381710148375305	84.8143587398336
0.429432994879666	0.163489618359365	0.0284513364135705	96.389350932776
0.454105523990235	0.191165388493769	0.0208004682783079	109.53265759379
0.478778053100803	0.221678113794917	0.0148748171012528	124.463995422798
0.503450582211372	0.255155552994122	0.0103718486587355	141.32443531833
0.528123111321941	0.291746958361662	0.00703027186071808	160.62661805487
0.552795640432509	0.33154112973951	0.00460354237006722	182.535303576418
0.577468169543078	0.374656637186586	0.002892487720832	207.27662456212
0.602140698653646	0.421211004162615	0.00172820852781282	235.1799284716
0.626813227764215	0.471320760493811	0.000969841226399703	266.905657565774
0.651485756874784	0.525127287132901	0.000503597367055388	304.350590408486
0.676158285985352	0.582742463767231	0.000236140029953456	348.344488933851
0.700830815095921	0.644260026999766	9.59775022303898e-05	399.164644960452
0.725503344206489	0.709792944217053	3.16143450237425e-05	488.25175433856
