1.0	12898.851512300389	-1981.0112316098475
2.0	12920.934838041838	-1999.6761377423645
3.0	12932.343082899233	-2009.1659307903565
4.0	12943.95509613324	-2018.6278750767794
5.0	12955.675351231223	-2028.0150574588909
6.0	12967.477007922638	-2037.312378067137
7.0	12979.351372082841	-2046.5209490838035
8.0	12991.294533119157	-2055.643822785985
9.0	13003.30652345541	-2064.6880323045857
10.0	13015.420799675137	-2073.687922646906
11.0	13027.783942245063	-2082.759045212508
12.0	13088.438685724917	-2125.6489607180706
13.0	13125.610348658445	-2150.870658193859
14.0	13175.666882590956	-2184.5423041747213
15.0	13213.123093312295	-2209.3387975348132
16.0	13275.826320855975	-2250.947800204954
17.0	13699.640251820521	-2537.747263466526
18.0	13707.957893356877	-2538.642812257221
19.0	13720.555165290303	-2546.702963296513
20.0	13733.188040520841	-2554.841003895894
21.0	13745.846943512535	-2562.949052029621
22.0	13758.523983682882	-2571.0282671117066
23.0	13771.218676473663	-2579.0808939896224
24.0	13783.929794559052	-2587.1070428368134
25.0	13796.658203500461	-2595.106102057396
26.0	13809.403494459277	-2603.0795356785707
27.0	13822.164699785973	-2611.0272501149357
28.0	13834.942433343218	-2618.948414312321
29.0	13847.736504292678	-2626.8448411964423
30.0	13860.545814901083	-2634.7160055058516
31.0	13873.371200100397	-2642.5615135837065
32.0	13886.212060451913	-2650.3828192958413
33.0	13899.09020050615	-2658.148746176435
34.0	13911.982827642669	-2665.8899681865933
35.0	13924.867599607738	-2673.638954193056
36.0	13937.766605453451	-2681.3637167622155
37.0	13950.680529519932	-2689.064291877077
38.0	13963.608643221021	-2696.7419119717
39.0	13976.550681296108	-2704.395736309947
40.0	13989.507099284534	-2712.0265156154373
41.0	14002.477358887969	-2719.634815148194
42.0	14032.962073453231	-2741.993823826679
43.0	14453.572611056989	-2975.8188711194052
44.0	14467.06274019733	-2983.2651326435157
45.0	14476.264871274243	-2985.5804760379874
46.0	14493.113153686347	-2985.2205225448765
47.0	14500.263439948969	-2981.076877721903
48.0	14514.297735842578	-2980.498032670884
49.0	14535.908818250857	-2985.1095894022424
50.0	14553.439268603344	-2984.5680947987626
51.0	14577.190453446303	-2986.374943567898
52.0	14065.853796549027	-2729.7740964117415
53.0	14495.556612383929	-2951.127392437095
54.0	14509.277751682195	-2957.4595150674268
55.0	14523.4778703165	-2964.7612933599125
56.0	14537.41346928035	-2969.848532903485
57.0	14549.287874838627	-2978.10884777645
58.0	14563.235447049648	-2982.249989199994
59.0	14567.604440946301	-2986.5233126512308
60.0	13054.496737385305	-2079.6368431265505
61.0	13067.188399547798	-2088.4194480265705
62.0	12922.41836314626	-1980.4883067895435
63.0	13080.138887192275	-2097.6506124194343
64.0	12907.371426851569	-1983.2319270334763
65.0	13094.510474072378	-2107.036406955876
66.0	12933.591943017667	-1989.3784699584196
67.0	13117.17507586674	-2122.5397535745865
68.0	12945.13701901956	-1998.6729251011982
69.0	13131.867311923184	-2131.8929340089694
70.0	12956.886895103447	-2007.9348484705226
71.0	13154.034026146319	-2146.824263866815
72.0	12968.745170934651	-2017.1184501372584
73.0	13167.468213927683	-2156.081814719686
74.0	12980.684219664827	-2026.209816870408
75.0	13182.06416353766	-2165.2313680788848
76.0	12992.694595965118	-2035.2112686423527
77.0	13204.81789699926	-2180.6306863508994
78.0	13004.771495638799	-2044.126954348245
79.0	13219.521451803792	-2189.9317253630397
80.0	13016.914252160872	-2052.9651391421908
81.0	13241.576648501146	-2204.774655432106
82.0	13029.15576209712	-2061.7614904165926
83.0	13254.536249323923	-2213.4245512283765
84.0	13041.641714569201	-2070.6326370393526
85.0	13267.65650334376	-2222.5226644528593
86.0	13040.52125950764	-2091.958445173667
87.0	13282.096400901797	-2231.578627256358
88.0	13053.100781451567	-2100.930097877351
89.0	13304.040022403462	-2246.465400294856
90.0	13065.945471607447	-2110.343026801012
91.0	13316.851294524022	-2255.065442576724
92.0	13085.997319513946	-2107.195361437783
93.0	13329.391604832466	-2263.4818891411855
94.0	13102.821931677636	-2112.619652748479
95.0	13341.872427080212	-2271.8654436078555
96.0	13099.199792211448	-2127.46806163427
97.0	13354.34172122667	-2280.2483448650155
98.0	13122.960021133838	-2131.8586706688134
99.0	13366.806812396484	-2288.6333417031715
100.0	13140.215410583296	-2137.4216515570824
101.0	13379.269070670794	-2297.0198488721917
102.0	13135.807827226541	-2151.8359784179443
103.0	13391.72935148744	-2305.4077035681007
104.0	13150.501127180649	-2162.2742863012195
105.0	13404.187996222337	-2313.7958517549855
106.0	13173.334573943825	-2165.6062597
107.0	13416.645920426932	-2322.183870843005
108.0	13190.423165023865	-2170.744916332256
109.0	13429.103847671744	-2330.570661168517
110.0	13186.588017239934	-2186.0362644644797
111.0	13441.562841924113	-2338.9562343560465
112.0	13210.541001243959	-2190.0266185751752
113.0	13454.025607708156	-2347.3396565866665
114.0	13227.864382746055	-2195.4672093507847
115.0	13466.491341420386	-2355.7184932313103
116.0	13223.247760684048	-2210.0361989761773
117.0	13478.959587341431	-2364.0936202007088
118.0	13237.428945209109	-2219.668455135968
119.0	13491.433571953554	-2372.4629477910366
120.0	13251.026383988246	-2229.0773841424316
121.0	13503.911264327186	-2380.8238479011366
122.0	13273.432081836496	-2231.9681777557003
123.0	13516.392824793795	-2389.1794203908344
124.0	13290.417788566227	-2237.146444008846
125.0	13528.881528121501	-2397.5276412224134
126.0	13285.883490107843	-2251.6722304865725
127.0	13541.375890227848	-2405.8635950508256
128.0	13299.853591815307	-2261.2247205703748
129.0	13553.877106500755	-2414.190517032111
