P_bar	B_g_m3Sm3	mu_g_cP
1	1.24299819548683	0.0175574477632395
1.24680437914745	0.996252784693072	0.0175611590600426
1.55452115986126	0.798350045719629	0.0175658216006267
1.93818378959239	0.639621474681379	0.0175716899945061
2.4165360364564	0.512312413712141	0.0175790929529428
3.01294771262146	0.410203198087345	0.017588458074985
3.75655640223874	0.328305294887068	0.0176003465984963
4.68369097282565	0.262617587951746	0.0176155029512876
5.83964641549241	0.209930902225595	0.0176349266938813
7.28089672350865	0.167671217157588	0.0176599790078192
9.07785391899091	0.133773908729703	0.0176925436091032
11.3183080194587	0.106582875174658	0.0177352753956259
14.1117160032008	0.0847696164652905	0.0177919942025817
17.594549310076	0.0672683113953098	0.0178683257323546
21.9369611289285	0.0532237158470122	0.0179727783038397
27.3510992007354	0.041949329483918	0.0181186204166587
34.1014702579733	0.0328937763293788	0.0183273055381762
42.5178624530077	0.0256137454327216	0.0186350770309653
53.0114570983989	0.0197521821617813	0.0191066323094803
66.094916855271	0.0150208445827109	0.0198660207438956
82.4074317745386	0.0111875758490798	0.0211745212132487
102.745946810789	0.00807557085228818	0.0236469715733176
128.104096423343	0.00562321003635243	0.0287343311731969
159.720748407352	0.004027208011682	0.0376718970622245
199.140528554995	0.00322401895501406	0.0479100554757699
248.289283068105	0.00278684783410293	0.0579410956552725
309.568165424695	0.00250336360361755	0.0681382092185432
385.970944296152	0.00229685890576439	0.0790679221387461
481.230263572119	0.00213532786324826	0.0912764532862836
600	0.00200315641880212	0.105323615005201
660	0.00195283876465699	0.1121110520812
750	0.0018905960211619	0.122018771635976
