-- SG    KRG    KROG   PCOG
SGOF
0.38469388 0.10006247 0.30545688 0.00542803
0.39387755 0.10662224 0.29376709 0.00553498
0.40306122 0.11339025 0.28230536 0.00564622
0.41224490 0.12036651 0.27107170 0.00576202
0.42142857 0.12755102 0.26006611 0.00588268
0.43061224 0.13494377 0.24928859 0.00600849
0.43979592 0.14254477 0.23873914 0.00613981
0.44897959 0.15035402 0.22841776 0.00627699
0.45816327 0.15837151 0.21832445 0.00642044
0.46734694 0.16659725 0.20845920 0.00657060
0.47653061 0.17503124 0.19882203 0.00672796
0.48571429 0.18367347 0.18941292 0.00689303
0.49489796 0.19252395 0.18023188 0.00706642
0.50408163 0.20158267 0.17127891 0.00724874
0.51326531 0.21084965 0.16255401 0.00744073
0.52244898 0.22032486 0.15405718 0.00764316
0.53163265 0.23000833 0.14578842 0.00785691
0.54081633 0.23990004 0.13774772 0.00808297
0.55000000 0.25000000 0.12993510 0.00832241
0.55918367 0.26030820 0.12235054 0.00857648
0.56836735 0.27082466 0.11499406 0.00884655
0.57755102 0.28154935 0.10786564 0.00913417
0.58673469 0.29248230 0.10096529 0.00944113
0.59591837 0.30362349 0.09429301 0.00976944
0.60510204 0.31497293 0.08784880 0.01012140
0.61428571 0.32653061 0.08163265 0.01049966
0.62346939 0.33829654 0.07564458 0.01090730
0.63265306 0.35027072 0.06988457 0.01134787
0.64183673 0.36245314 0.06435264 0.01182553
0.65102041 0.37484382 0.05904877 0.01234516
0.66020408 0.38744273 0.05397297 0.01291255
0.66938776 0.40024990 0.04912524 0.01353461
0.67857143 0.41326531 0.04450558 0.01421964
0.68775510 0.42648896 0.04011399 0.01497770
0.69693878 0.43992087 0.03595046 0.01582113
0.70612245 0.45356102 0.03201501 0.01676521
0.71530612 0.46740941 0.02830762 0.01782910
0.72448980 0.48146606 0.02482831 0.01903715
0.73367347 0.49573095 0.02157706 0.02042079
0.74285714 0.51020408 0.01855388 0.02202129
0.75204082 0.52488546 0.01575877 0.02389396
0.76122449 0.53977509 0.01319173 0.02611467
0.77040816 0.55487297 0.01085275 0.02879034
0.77959184 0.57017909 0.00874185 0.03207671
0.78877551 0.58569346 0.00685902 0.03620971
0.79795918 0.60141608 0.00520425 0.04156467
0.80714286 0.61734694 0.00377755 0.04877710
0.81632653 0.63348605 0.00257892 0.05901502
0.82551020 0.64983340 0.00160836 0.07468349
0.83469388 0.66638900 0.00086587 0.10164505
0.84387755 0.68315285 0.00035145 0.15884448
0.85306122 0.70012495 0.00006510 0.35743483
0.86224490 0.71730529 0.00000000 0.95000000
0.87142857 0.73469388 0.00000000 0.95000000
0.88061224 0.75229071 0.00000000 0.95000000
0.88979592 0.77009579 0.00000000 0.95000000
0.89897959 0.78810912 0.00000000 0.95000000
0.90816327 0.80633070 0.00000000 0.95000000
0.91734694 0.82476052 0.00000000 0.95000000
0.92653061 0.84339858 0.00000000 0.95000000
0.93571429 0.86224490 0.00000000 0.95000000
0.94489796 0.88129946 0.00000000 0.95000000
0.95408163 0.90056227 0.00000000 0.95000000
0.96326531 0.92003332 0.00000000 0.95000000
0.97244898 0.93971262 0.00000000 0.95000000
0.98163265 0.95960017 0.00000000 0.95000000
0.99081633 0.97969596 0.00000000 0.95000000
1.00000000 1.00000000 0.00000000 0.95000000
/
0.00000000 0.00000000 1.00000000 0.00100000
0.10000000 0.00000000 0.78564050 0.00112820
0.10918367 0.00010412 0.76724924 0.00114165
0.11836735 0.00041649 0.74907580 0.00115541
0.12755102 0.00093711 0.73112018 0.00116951
0.13673469 0.00166597 0.71338238 0.00118396
0.14591837 0.00260308 0.69586240 0.00119878
0.15510204 0.00374844 0.67856024 0.00121396
0.16428571 0.00510204 0.66147590 0.00122954
0.17346939 0.00666389 0.64460938 0.00124552
0.18265306 0.00843399 0.62796068 0.00126193
0.19183673 0.01041233 0.61152980 0.00127877
0.20102041 0.01259892 0.59531674 0.00129606
0.21020408 0.01499375 0.57932150 0.00131383
0.21938776 0.01759683 0.56354408 0.00133210
0.22857143 0.02040816 0.54798448 0.00135088
0.23775510 0.02342774 0.53264270 0.00137019
0.24693878 0.02665556 0.51751874 0.00139007
0.25612245 0.03009163 0.50261260 0.00141053
0.26530612 0.03373594 0.48792428 0.00143161
0.27448980 0.03758850 0.47345378 0.00145332
0.28367347 0.04164931 0.45920110 0.00147570
0.29285714 0.04591837 0.44516624 0.00149878
0.30204082 0.05039567 0.43134920 0.00152260
0.31122449 0.05508122 0.41774998 0.00154718
0.32040816 0.05997501 0.40436857 0.00157257
0.32959184 0.06507705 0.39120499 0.00159881
0.33877551 0.07038734 0.37825923 0.00162594
0.34795918 0.07590587 0.36553129 0.00165401
0.35714286 0.08163265 0.35302117 0.00168306
0.36632653 0.08756768 0.34072887 0.00171315
0.37551020 0.09371095 0.32865438 0.00174434
0.38469388 0.10006247 0.31679772 0.00177668
0.39387755 0.10662224 0.30515888 0.00181024
0.40306122 0.11339025 0.29373786 0.00184510
0.41224490 0.12036651 0.28253465 0.00188132
0.42142857 0.12755102 0.27154927 0.00191900
0.43061224 0.13494377 0.26078171 0.00195822
0.43979592 0.14254477 0.25023196 0.00199907
0.44897959 0.15035402 0.23990004 0.00204166
0.45816327 0.15837151 0.22978594 0.00208611
0.46734694 0.16659725 0.21988966 0.00213254
0.47653061 0.17503124 0.21021119 0.00218108
0.48571429 0.18367347 0.20075055 0.00223188
0.49489796 0.19252395 0.19150772 0.00228511
0.50408163 0.20158267 0.18248272 0.00234093
0.51326531 0.21084965 0.17367554 0.00239955
0.52244898 0.22032486 0.16508617 0.00246118
0.53163265 0.23000833 0.15671463 0.00252606
0.54081633 0.23990004 0.14856090 0.00259446
0.55000000 0.25000000 0.14062500 0.00266666
0.55918367 0.26030820 0.13290692 0.00274300
0.56836735 0.27082466 0.12540665 0.00282383
0.57755102 0.28154935 0.11812421 0.00290957
0.58673469 0.29248230 0.11105958 0.00300069
0.59591837 0.30362349 0.10421278 0.00309769
0.60510204 0.31497293 0.09758379 0.00320118
0.61428571 0.32653061 0.09117263 0.00331182
0.62346939 0.33829654 0.08497928 0.00343038
0.63265306 0.35027072 0.07900376 0.00355774
0.64183673 0.36245314 0.07324605 0.00369493
0.65102041 0.37484382 0.06770616 0.00384312
0.66020408 0.38744273 0.06238410 0.00400370
0.66938776 0.40024990 0.05727985 0.00417827
0.67857143 0.41326531 0.05239343 0.00436877
0.68775510 0.42648896 0.04772482 0.00457747
0.69693878 0.43992087 0.04327403 0.00480710
0.70612245 0.45356102 0.03904107 0.00506100
0.71530612 0.46740941 0.03502592 0.00534320
0.72448980 0.48146606 0.03122859 0.00565874
0.73367347 0.49573095 0.02764909 0.00601388
0.74285714 0.51020408 0.02428740 0.00641659
0.75204082 0.52488546 0.02114353 0.00687710
0.76122449 0.53977509 0.01821749 0.00740882
0.77040816 0.55487297 0.01550926 0.00802964
0.77959184 0.57017909 0.01301885 0.00876403
0.78877551 0.58569346 0.01074626 0.00964627
0.79795918 0.60141608 0.00869150 0.01072601
0.80714286 0.61734694 0.00685455 0.01207792
0.81632653 0.63348605 0.00523542 0.01381975
0.82551020 0.64983340 0.00383411 0.01614859
0.83469388 0.66638900 0.00265063 0.01942130
0.84387755 0.68315285 0.00168496 0.02435739
0.85306122 0.70012495 0.00093711 0.03265656
0.86224490 0.71730529 0.00040708 0.04952792
0.87142857 0.73469388 0.00009487 0.10235362
0.88061224 0.75229071 0.00000000 0.95000000
0.88979592 0.77009579 0.00000000 0.95000000
0.89897959 0.78810912 0.00000000 0.95000000
0.90816327 0.80633070 0.00000000 0.95000000
0.91734694 0.82476052 0.00000000 0.95000000
0.92653061 0.84339858 0.00000000 0.95000000
0.93571429 0.86224490 0.00000000 0.95000000
0.94489796 0.88129946 0.00000000 0.95000000
0.95408163 0.90056227 0.00000000 0.95000000
0.96326531 0.92003332 0.00000000 0.95000000
0.97244898 0.93971262 0.00000000 0.95000000
0.98163265 0.95960017 0.00000000 0.95000000
0.99081633 0.97969596 0.00000000 0.95000000
1.00000000 1.00000000 0.00000000 0.95000000
/
0.00000000 0.00000000 1.00000000 0.00025000
0.10000000 0.00000000 0.78564050 0.00028205
0.10918367 0.00010412 0.76724924 0.00028541
0.11836735 0.00041649 0.74907580 0.00028885
0.12755102 0.00093711 0.73112018 0.00029238
0.13673469 0.00166597 0.71338238 0.00029599
0.14591837 0.00260308 0.69586240 0.00029969
0.15510204 0.00374844 0.67856024 0.00030349
0.16428571 0.00510204 0.66147590 0.00030739
0.17346939 0.00666389 0.64460938 0.00031138
0.18265306 0.00843399 0.62796068 0.00031548
