P_bar	B_g_m3Sm3	mu_g_cP
1	1.13632799731641	0.0161431192786739
2	0.566013112407179	0.0161598219447166
4	0.280841429459305	0.0161948227129965
6	0.185771199278857	0.0162320303320382
8	0.138226007496138	0.0162715457997803
10	0.109690556647424	0.0163134768700347
15	0.0716176784528861	0.0164296482857123
20	0.0525517449105407	0.0165636939219169
30	0.0334186792885179	0.016895658603122
40	0.0237718632895472	0.0173359590713602
50	0.0179019157104977	0.0179259910566902
60	0.0138977065300666	0.0187353469878117
70	0.0109268928581805	0.0198945581097105
80	0.0085475499980588	0.0216931087050956
90	0.00645706541307024	0.0249747019146137
100	0.00452945612246809	0.0324553920404248
105	0.00393215777989261	0.0371724337874341
110	0.00359207781346101	0.0409734416469777
115	0.00337584433953923	0.0440318481060404
120	0.0032224556779651	0.0466092388616426
125	0.00310539413522137	0.0488622994291598
130	0.00301156137437931	0.0508834846388587
135	0.00293370409573908	0.052730655150044
140	0.00286743896655483	0.0544421984437636
145	0.0028099346504304	0.0560448562436883
150	0.0027592651186765	0.0575580126667087
155	0.00271406511638231	0.058996182186446
160	0.00267333400212023	0.0603705283290732
165	0.00263631783399167	0.0616898320091065
170	0.00260243522594411	0.0629611323808298
175	0.00257122892709421	0.0641901647313534
180	0.002542333163196	0.0653816680676455
185	0.00251545098873175	0.0665396064271121
190	0.00249033819697897	0.0676673315015677
195	0.00246679164415961	0.0687677043802419
200	0.00244464061637323	0.0698431882074464
205	0.00242374033889862	0.0708959197533597
210	0.00240396702268409	0.0719277654360394
215	0.00238521403269078	0.0729403657020333
220	0.0023673888876298	0.0739351705697208
225	0.0023504108844746	0.0749134683791219
230	0.00233420919847585	0.075876409258885
235	0.00231872134929912	0.0768250244416658
240	0.00230389195209059	0.0777602422850742
245	0.00228967169247479	0.078682901654853
250	0.00227601647915438	0.079593763178468
260	0.00225024682401432	0.0813827997118309
270	0.00222631060971959	0.0831322003813108
280	0.00220398407795399	0.0848460435041391
290	0.00218308126465357	0.0865277928839835
300	0.00216344601521164	0.0881804157338133
350	0.00208025636025076	0.0960856480347901
450	0.00196179579585047	0.11066350081355
