# This autogenerated file contains thermodynamical properties of H2O.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 293.15, max temperature = 322.465, #temperature sampling points = 2
# min pressure = 101325.0, max pressure = 250000.0, #pressure sampling points = 50
#
# temperature [K],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
3.22465000000e+02, 1.16495918367e+05, 9.88349948897e+02, 5.52864090219e-04, 2.06567445226e+05
3.22465000000e+02, 1.19530102041e+05, 9.88351273251e+02, 5.52864689322e-04, 2.06570066660e+05
3.22465000000e+02, 1.22564285714e+05, 9.88352597595e+02, 5.52865288431e-04, 2.06572688091e+05
3.22465000000e+02, 1.25598469388e+05, 9.88353921930e+02, 5.52865887545e-04, 2.06575309518e+05
3.22465000000e+02, 1.28632653061e+05, 9.88355246257e+02, 5.52866486666e-04, 2.06577930943e+05
3.22465000000e+02, 1.31666836735e+05, 9.88356570574e+02, 5.52867085792e-04, 2.06580552365e+05
3.22465000000e+02, 1.34701020408e+05, 9.88357894882e+02, 5.52867684924e-04, 2.06583173783e+05
3.22465000000e+02, 1.37735204082e+05, 9.88359219182e+02, 5.52868284062e-04, 2.06585795198e+05
3.22465000000e+02, 1.40769387755e+05, 9.88360543472e+02, 5.52868883206e-04, 2.06588416610e+05
3.22465000000e+02, 1.43803571429e+05, 9.88361867753e+02, 5.52869482356e-04, 2.06591038018e+05
3.22465000000e+02, 1.46837755102e+05, 9.88363192026e+02, 5.52870081511e-04, 2.06593659424e+05
3.22465000000e+02, 1.49871938776e+05, 9.88364516289e+02, 5.52870680673e-04, 2.06596280826e+05
3.22465000000e+02, 1.52906122449e+05, 9.88365840543e+02, 5.52871279840e-04, 2.06598902226e+05
3.22465000000e+02, 1.55940306122e+05, 9.88367164789e+02, 5.52871879013e-04, 2.06601523622e+05
3.22465000000e+02, 1.58974489796e+05, 9.88368489025e+02, 5.52872478192e-04, 2.06604145015e+05
3.22465000000e+02, 1.62008673469e+05, 9.88369813252e+02, 5.52873077376e-04, 2.06606766404e+05
3.22465000000e+02, 1.65042857143e+05, 9.88371137471e+02, 5.52873676567e-04, 2.06609387791e+05
3.22465000000e+02, 1.68077040816e+05, 9.88372461680e+02, 5.52874275763e-04, 2.06612009174e+05
3.22465000000e+02, 1.71111224490e+05, 9.88373785880e+02, 5.52874874965e-04, 2.06614630554e+05
3.22465000000e+02, 1.74145408163e+05, 9.88375110071e+02, 5.52875474173e-04, 2.06617251931e+05
3.22465000000e+02, 1.77179591837e+05, 9.88376434254e+02, 5.52876073387e-04, 2.06619873305e+05
3.22465000000e+02, 1.80213775510e+05, 9.88377758427e+02, 5.52876672606e-04, 2.06622494676e+05
3.22465000000e+02, 1.83247959184e+05, 9.88379082591e+02, 5.52877271832e-04, 2.06625116043e+05
3.22465000000e+02, 1.86282142857e+05, 9.88380406746e+02, 5.52877871063e-04, 2.06627737408e+05
3.22465000000e+02, 1.89316326531e+05, 9.88381730893e+02, 5.52878470300e-04, 2.06630358769e+05
3.22465000000e+02, 1.92350510204e+05, 9.88383055030e+02, 5.52879069543e-04, 2.06632980127e+05
3.22465000000e+02, 1.95384693878e+05, 9.88384379158e+02, 5.52879668792e-04, 2.06635601482e+05
3.22465000000e+02, 1.98418877551e+05, 9.88385703277e+02, 5.52880268046e-04, 2.06638222833e+05
