# This autogenerated file contains thermodynamical properties of CO2.
# The data has been obtained by querying the NIST Chemistry WebBook https://doi.org/10.18434/T4D303.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 293.15, max temperature = 322.465, #temperature sampling points = 2
# min pressure = 101325.0, max pressure = 250000.0, #pressure sampling points = 50
#
# temperature [K],     pressure [Pa],   density [kg/m3],  viscosity [Pa.s],   enthalpy [J/kg]
3.22465000000e+02, 1.16495918367e+05, 1.92081593485e+00, 1.60729635050e-05, 5.26692212924e+05
3.22465000000e+02, 1.19530102041e+05, 1.97107541456e+00, 1.60733120395e-05, 5.26668403373e+05
3.22465000000e+02, 1.22564285714e+05, 2.02134671254e+00, 1.60736609079e-05, 5.26644589339e+05
3.22465000000e+02, 1.25598469388e+05, 2.07162983544e+00, 1.60740101106e-05, 5.26620770822e+05
3.22465000000e+02, 1.28632653061e+05, 2.12192478987e+00, 1.60743596478e-05, 5.26596947819e+05
3.22465000000e+02, 1.31666836735e+05, 2.17223158248e+00, 1.60747095197e-05, 5.26573120328e+05
3.22465000000e+02, 1.34701020408e+05, 2.22255021992e+00, 1.60750597266e-05, 5.26549288346e+05
3.22465000000e+02, 1.37735204082e+05, 2.27288070883e+00, 1.60754102688e-05, 5.26525451871e+05
3.22465000000e+02, 1.40769387755e+05, 2.32322305588e+00, 1.60757611464e-05, 5.26501610901e+05
3.22465000000e+02, 1.43803571429e+05, 2.37357726772e+00, 1.60761123598e-05, 5.26477765434e+05
3.22465000000e+02, 1.46837755102e+05, 2.42394335102e+00, 1.60764639091e-05, 5.26453915467e+05
3.22465000000e+02, 1.49871938776e+05, 2.47432131246e+00, 1.60768157947e-05, 5.26430060998e+05
3.22465000000e+02, 1.52906122449e+05, 2.52471115871e+00, 1.60771680167e-05, 5.26406202026e+05
3.22465000000e+02, 1.55940306122e+05, 2.57511289647e+00, 1.60775205755e-05, 5.26382338547e+05
3.22465000000e+02, 1.58974489796e+05, 2.62552653243e+00, 1.60778734713e-05, 5.26358470559e+05
3.22465000000e+02, 1.62008673469e+05, 2.67595207328e+00, 1.60782267043e-05, 5.26334598061e+05
3.22465000000e+02, 1.65042857143e+05, 2.72638952572e+00, 1.60785802747e-05, 5.26310721050e+05
3.22465000000e+02, 1.68077040816e+05, 2.77683889648e+00, 1.60789341829e-05, 5.26286839523e+05
3.22465000000e+02, 1.71111224490e+05, 2.82730019225e+00, 1.60792884291e-05, 5.26262953479e+05
3.22465000000e+02, 1.74145408163e+05, 2.87777341978e+00, 1.60796430136e-05, 5.26239062914e+05
3.22465000000e+02, 1.77179591837e+05, 2.92825858577e+00, 1.60799979365e-05, 5.26215167828e+05
3.22465000000e+02, 1.80213775510e+05, 2.97875569697e+00, 1.60803531981e-05, 5.26191268217e+05
3.22465000000e+02, 1.83247959184e+05, 3.02926476012e+00, 1.60807087988e-05, 5.26167364080e+05
3.22465000000e+02, 1.86282142857e+05, 3.07978578196e+00, 1.60810647387e-05, 5.26143455414e+05
3.22465000000e+02, 1.89316326531e+05, 3.13031876925e+00, 1.60814210180e-05, 5.26119542216e+05
3.22465000000e+02, 1.92350510204e+05, 3.18086372874e+00, 1.60817776372e-05, 5.26095624485e+05
3.22465000000e+02, 1.95384693878e+05, 3.23142066720e+00, 1.60821345963e-05, 5.26071702218e+05
3.22465000000e+02, 1.98418877551e+05, 3.28198959139e+00, 1.60824918957e-05, 5.26047775413e+05
3.22465000000e+02, 2.01453061224e+05, 3.33257050809e+00, 1.60828495356e-05, 5.26023844068e+05
3.22465000000e+02, 2.04487244898e+05, 3.38316342409e+00, 1.60832075162e-05, 5.25999908180e+05
