# This autogenerated file contains solubilities of CO2 and H2O in a respective fluid system.
# The values have been calculated by means of (11)-(14) in https://doi.org/10.1016/S0016-7037(03)00273-4.
#
# Concerning temperature and pressure ranges, the following parameters have been used:
# min temperature = 293.15, max temperature = 322.465, #temperature sampling points = 2
# min gas pressure = 101325.0, max gas pressure = 250000.0, #pressure sampling points = 50
#
# temperature [K], gas pressure [Pa],         y_H2O [-],         x_CO2 [-]
3.22465000000e+02, 1.58974489796e+05, 7.56956187813e-02, 5.25141298535e-04
3.22465000000e+02, 1.62008673469e+05, 7.42938497128e-02, 5.35895287498e-04
3.22465000000e+02, 1.65042857143e+05, 7.29436271432e-02, 5.46646028682e-04
3.22465000000e+02, 1.68077040816e+05, 7.16421594705e-02, 5.57393522589e-04
3.22465000000e+02, 1.71111224490e+05, 7.03868530993e-02, 5.68137769710e-04
3.22465000000e+02, 1.74145408163e+05, 6.91752951884e-02, 5.78878770549e-04
3.22465000000e+02, 1.77179591837e+05, 6.80052381770e-02, 5.89616525595e-04
3.22465000000e+02, 1.80213775510e+05, 6.68745858678e-02, 6.00351035351e-04
3.22465000000e+02, 1.83247959184e+05, 6.57813808980e-02, 6.11082300313e-04
3.22465000000e+02, 1.86282142857e+05, 6.47237934315e-02, 6.21810320975e-04
3.22465000000e+02, 1.89316326531e+05, 6.37001109397e-02, 6.32535097837e-04
3.22465000000e+02, 1.92350510204e+05, 6.27087289496e-02, 6.43256631392e-04
3.22465000000e+02, 1.95384693878e+05, 6.17481426532e-02, 6.53974922140e-04
3.22465000000e+02, 1.98418877551e+05, 6.08169392877e-02, 6.64689970573e-04
3.22465000000e+02, 2.01453061224e+05, 5.99137912035e-02, 6.75401777189e-04
3.22465000000e+02, 2.04487244898e+05, 5.90374495493e-02, 6.86110342485e-04
3.22465000000e+02, 2.07521428571e+05, 5.81867385125e-02, 6.96815666955e-04
3.22465000000e+02, 2.10555612245e+05, 5.73605500558e-02, 7.07517751097e-04
3.22465000000e+02, 2.13589795918e+05, 5.65578391036e-02, 7.18216595404e-04
3.22465000000e+02, 2.16623979592e+05, 5.57776191322e-02, 7.28912200374e-04
3.22465000000e+02, 2.19658163265e+05, 5.50189581266e-02, 7.39604566501e-04
3.22465000000e+02, 2.22692346939e+05, 5.42809748661e-02, 7.50293694281e-04
3.22465000000e+02, 2.25726530612e+05, 5.35628355116e-02, 7.60979584207e-04
3.22465000000e+02, 2.28760714286e+05, 5.28637504621e-02, 7.71662236776e-04
3.22465000000e+02, 2.31794897959e+05, 5.21829714602e-02, 7.82341652483e-04
3.22465000000e+02, 2.34829081633e+05, 5.15197889210e-02, 7.93017831823e-04
3.22465000000e+02, 2.37863265306e+05, 5.08735294655e-02, 8.03690775289e-04
3.22465000000e+02, 2.40897448980e+05, 5.02435536402e-02, 8.14360483376e-04
3.22465000000e+02, 2.43931632653e+05, 4.96292538074e-02, 8.25026956580e-04
3.22465000000e+02, 2.46965816327e+05, 4.90300521910e-02, 8.35690195395e-04
3.22465000000e+02, 2.50000000000e+05, 4.84453990639e-02, 8.46350200315e-04
