Rs_Sm3Sm3	P_bar	B_aq_m3Sm3	mu_b_cP
1.12465005157425	1	1.00365878693338	0.897689726628009
1.17928063075575	1.04729412282063	1.00373928366515	0.898082435996263
1.23646555434428	1.09682497969463	1.00382354302022	0.898493681804831
1.29632278590625	1.14869835499703	1.00391173865108	0.898924323749255
1.3589755929656	1.20302503608212	1.00400405200706	0.899375259943287
1.42455277124189	1.25992104989487	1.00410067266288	0.899847428492001
1.49318887692042	1.31950791077289	1.00420179865873	0.900341809114746
1.56502446708567	1.38191287996778	1.00430763685235	0.9008594248179
1.64020634843149	1.44726923744038	1.00441840328287	0.901401343617179
1.71888783434052	1.5157165665104	1.00453432354691	0.901968680309042
1.80122901040082	1.5874010519682	1.0046556331867	0.902562598290397
1.88739700839947	1.66247579228558	1.00478257809051	0.903184311425482
1.97756628879977	1.74110112659225	1.00491541490513	0.90383508595849
2.07191893167135	1.82344497711643	1.00505441146055	0.904516242470054
2.17064493599917	1.90968320782083	1.00519984720647	0.905229157875227
2.2739425272482	2	1.00535201366069	0.905975267460164
2.2739425272482	4	1.0052595904423	0.905971546965173
2.2739425272482	7	1.00512107747664	0.90596596907573
