Rs_Sm3Sm3	P_bar	B_aq_m3Sm3	mu_b_cP
1.49996387370118	1                   1.00422682706119	0.900391220529654
1.5728474891347     1.04729412282063	1.00433494989249	0.90091643693244
1.64914107783057	1.09682497969463	1.0044481303474     0.901466421609422
1.72900232721567	1.14869835499703	1.00456660220076	0.902042321089944
1.81259603500626	1.20302503608212	1.00469060975814	0.902645332927421
1.90009441179434	1.25992104989487	1.00482040830296	0.903276707767716
1.99167739467516	1.31950791077289	1.00495626455977	0.903937751480824
2.08753297212042	1.38191287996778	1.005098457174      0.904629827355574
2.18785752028049	1.44726923744038	1.00524727720854	0.905354358356673
2.29285615087371	1.5157165665104     1.00540302865713	0.906112829443153
2.40274307079102	1.5874010519682     1.005566028975      0.906906789946776
2.51774195350942	1.66247579228558	1.00573660962663	0.907737856008536
2.63808632236745	1.74110112659225	1.00591511665091	0.90860771307088
2.76401994570878	1.82344497711643	1.00610191124345	0.909518118422703
2.89579724384683	1.90968320782083	1.0062973703561     0.91047090379347
3.03368370774116	2                   1.00650188731344	0.911467977992201
3.03368370774116	4                   1.00640946409486	0.911464234940742
3.03368370774116	7                   1.0062709511289     0.911458623233895
