Rs_Sm3Sm3	P_bar	B_aq_m3Sm3	mu_b_cP
0.0749164697512471	1                   1.00207000771958	0.890209888177096
0.0785525203570032	1.04729412282063	1.00207332387119	0.890235115280124
0.0823582768031037	1.09682497969463	1.00207679347874	0.890261536198257
0.0863415471791088	1.14869835499703	1.00208042347365	0.890289206592675
0.0905104878366878	1.20302503608212	1.00208422108367	0.890318184640387
0.0948736178393925	1.25992104989487	1.00208819384394	0.890348531140065
0.0994398339021703	1.31950791077289	1.00209234960818	0.890380309621528
0.104218425825324	1.38191287996778	1.00209669656014	0.890413586458917
0.109219092426115	1.44726923744038	1.00210124322523	0.890448430987563
0.114451957969429	1.5157165665104     1.00210599848232	0.890484915624605
0.119927589096955	1.5874010519682     1.00211097157567	0.89052311599334
0.125657012251963	1.66247579228558	1.00211617212701	0.890563111051275
0.131651731594192	1.74110112659225	1.00212161014761	0.890604983221858
0.137923747396372	1.82344497711643	1.00212729605048	0.890648818529843
0.144485574910511	1.90968320782083	1.00213324066246	0.89069470674016
0.151350263688318	2                   1.00213945523628	0.890742741500244
0.151350263688318	4                   1.00204703201845	0.890739083559429
0.151350263688318	7                   1.00190851905361	0.890733599453281
