P_bar	B_g_m3Sm3	mu_g_cP
1	1.02944472610148	0.0146992258996724
1.04729412282063	0.982717507506452	0.0147000883066421
1.09682497969463	0.93810033425988	0.0147009931023666
1.14869835499703	0.895497916168352	0.0147019424492744
1.20302503608212	0.854819265994597	0.0147029386277227
1.25992104989487	0.815977505132583	0.0147039840431498
1.31950791077289	0.77888967805742	0.0147050812337285
1.38191287996778	0.743476575153765	0.0147062328785591
1.44726923744038	0.709662563544353	0.0147074418064479
1.5157165665104	0.677375425557305	0.0147087110053205
1.5874010519682	0.646546204487234	0.0147100436323206
1.66247579228558	0.617109057320711	0.0147114430246564
1.74110112659225	0.589001114111518	0.0147129127112554
1.82344497711643	0.562162343705366	0.0147144564253006
1.90968320782083	0.536535425527243	0.0147160781177244
2	0.512065627157566	0.014717781971745
4	0.253347414351668	0.0147569772882358
7	0.142425057662382	0.0148213097785787
