P_bar	Rv_Sm3Sm3	B_g_m3Sm3	mu_g_cP
1                   1.84443812298961e-05	1.0542474603761     0.0151251399100217
1.04729412282063	1.75997090176484e-05	1.00531012856534	0.0151066587377603
1.09682497969463	1.67948834298408e-05	0.958680966954676	0.0150891287271709
1.14869835499703	1.6027950727938e-05     0.9142467826174     0.0150725073831387
1.20302503608212	1.52970596953262e-05	0.871900321365939	0.0150567547044931
1.25992104989487	1.46004556626143e-05	0.831539921601301	0.0150418330487459
1.31950791077289	1.39364749330757e-05	0.793069191341489	0.0150277070072469
1.38191287996778	1.33035395770816e-05	0.7563967066245     0.0150143432899938
1.44726923744038	1.27001525671672e-05	0.721435729642615	0.0150017106194118
1.5157165665104     1.21248932278628e-05	0.688103945109603	0.0149897796324884
1.5874010519682     1.15764129766888e-05	0.656323213493159	0.0149785227907141
1.66247579228558	1.10534313347388e-05	0.626019339862708	0.0149679142973381
1.74110112659225	1.05547321871188e-05	0.597121857209168	0.014957930021503
1.82344497711643	1.00791602751691e-05	0.569563823189532	0.0149485474288724
1.90968320782083	9.62561790390211e-06	0.54328162933627	0.0149397455184106
2                   9.19306184945149e-06	0.518214821850527	0.0149315047650195
4                   9.19306184945149e-06	0.256389763795146	0.0149712512990728
7                   9.19306184945149e-06	0.144135384156241	0.0150364883920272
                    0                       0.142425057662382	0.0148213097785787
