Rs_Sm3Sm3	P_bar	B_aq_m3Sm3	mu_b_cP
0.74955158875314	1                   1.00309107275277	0.894998265799211
0.785950572164756	1.04729412282063	1.00314397583527	0.895258846405338
0.824050364336449	1.09682497969463	1.00319934970884	0.895531738052989
0.86392940673504	1.14869835499703	1.00325730820898	0.895817512800816
0.905669657688918	1.20302503608212	1.00331797026328	0.896116768377414
0.949356740088139	1.25992104989487	1.00338146010405	0.896430129242884
0.995080094274747	1.31950791077289	1.00344790748837	0.896758247685129
1.04293313619615	1.38191287996778	1.0035174479255	0.897101804951013
1.0930134208814     1.44726923744038	1.00359022291185	0.897461512412353
1.14542281128495	1.5157165665104     1.00366638017345	0.897838112766643
1.20026765252462	1.5874010519682     1.00374607391596	0.898232381272146
1.25765895152029	1.66247579228558	1.00382946508225	0.89864512701681
1.31771256201618	1.74110112659225	1.00391672161744	0.899077194220274
1.38054937494286	1.82344497711643	1.00400801874132	0.899529463567942
1.44629551404454	1.90968320782083	1.00410353922798	0.900002853575798
1.5150825366625     2                   1.00420347369253	0.900498321984387
1.5150825366625     4                   1.00411105047434	0.900494623981122
1.5150825366625     7                   1.00397253750897	0.900489079812022
