1.0	12790.509549949178	-1876.0539900364101
2.0	12886.325463289992	-1964.9966686071195
3.0	12896.85797029884	-1963.9942274297243
4.0	12853.046715278391	-1924.991226541022
5.0	12911.338114839911	-1970.7903225077016
6.0	12901.402984839913	-1972.5704505077017
7.0	12824.25339110555	-1898.4308330730812
8.0	12838.61934595006	-1911.7456870810602
9.0	12809.928361231156	-1885.0746596777688
10.0	12799.956728801479	-1885.111686804096
11.0	12814.199821890406	-1898.5895437490105
12.0	12867.557793325373	-1938.1409358731798
13.0	12828.469287481488	-1912.0368562747317
14.0	12842.794090300325	-1925.4304933695137
15.0	12882.183173945077	-1951.1755164114102
16.0	12857.192213764558	-1938.7371927642196
17.0	12871.694081609776	-1951.9348138326986
